ID	S1	S2	S3
1497-RMM-1476	24.0665870075	14.2331476134	22.8464638791
1497-RMM-1477	16.3500274645	15.809686643	30.9811705081
1497-RMM-1478	28.3695673209	11.3308731666	21.6473209617
1497-RMM-1479	22.8433382739	13.9758866788	25.5734571823
1497-RMM-1480	27.0658142039	13.3607748442	21.5332851981
1497-RMM-1481	17.7849886546	16.3914105594	28.4040275707
1497-RMM-1482	24.4670320337	13.8970757636	23.2091764906
1497-RMM-1483	24.8826531155	14.8604406992	21.7209904364
1497-RMM-1484	20.4565522368	15.3344922471	26.8489970736
1497-RMM-1485	26.0903575085	14.9870871254	20.5518096561
1497-RMM-1486	22.6908738628	15.9688819181	23.1583466191
1497-RMM-1487	22.6806884376	16.0065618894	23.7389669041
1497-RMM-1488	27.6934325836	12.7416027956	20.0653260419
1497-RMM-1489	20.2371095547	15.5846637473	26.8882670405
1497-RMM-1490	22.7248413093	15.373320538	23.0536374564
1497-RMM-1491	22.2878997437	15.539207057	23.8018494138
1497-RMM-1492	20.2379849538	16.0702113142	25.1763960144
1497-RMM-1493	22.7342782337	15.1791349876	23.8404169528
1497-RMM-1494	22.1960459641	15.1525418731	24.9469640674
1497-RMM-1495	25.7689748728	11.9362094416	23.9051476575
1497-RMM-1496	25.9906389951	13.6597472964	21.8718441592
1497-RMM-1497	28.8631113856	13.5886753662	19.8641794812
1497-RMM-1498	26.9938472109	12.7193539233	21.2114496697
1497-RMM-1499	26.7906353598	14.3440562024	20.2086371412
1497-RMM-1500	24.9589737881	16.068182509	23.2113972826
1497-RMM-1501	26.2102582153	15.6033769892	20.6203301462
1497-RMM-1502	22.5119590929	14.4056902067	25.347503945
1497-RMM-1503	20.5045500803	16.1364992755	24.7895880456
1497-RMM-1504	18.1053483026	17.5603977567	27.7845505459
1497-RMM-1505	24.2849062779	17.0418655575	21.0976057599
1497-RMM-1506	25.5960808099	13.9382590126	21.6201661204
1497-RMM-1507	22.629664583	15.0245482162	25.3257484449
